Frame,BOND,ANGLE,DIHED,is_bool,IMP,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,date,pdb
1,575.97,1313.36,1518.97,true,69.25,6389.4,-4321.35,102.08,3154,-4219.27,-1064.43,2025-9-13,a
2,548.49,1323.73,1466.1,0,80.72,6344.46,-4328.8,102.13,3068,-4226.66,-1157.84,2025-9-13,b
3,559.51,1315.62,1488.86,true,73.64,6325.95,-4356.57,101.82,3109,-4254.74,-1145.39,2025-9-13,v
4,529.69,1354.14,1487.21,1,75.57,6333.95,-4396.89,102.55,3187,-4294.34,-1107.02,,f
5,529.72,1313.13,"",1,70.78,6365.05,-4340.68,101.2,3082,-4239.48,-1157.33,2025-9-13,c
6,547.65,1294.98,1496.8,false,69.81,6377.27,-4306.24,102.64,3068,-4203.6,-1134.67,2025-9-13,d
7,532.83,1359.95,1494.93,false,78.7,6339.22,-4328.61,102.01,3133,-4226.59,-1093.46,2025-9-13,e
8,567.44,1350.82,1466.51,false,64.63,6334.46,-4352.13,102.4,3100,-4249.73,-1149.38,2025-9-13,y
9,531.68,1343.65,1463.62,true,67.63,6355.41,-4357.35,102.15,3096,-4255.19,-1158.63,2025-9-13,u
10,586.97,1353.72,1497.95,0,69.51,6330.72,-4377.1,102.45,3202,-4274.65,-1072.48,2025-9-19,i
11,573.36,1322.88,1480.59,0,74.99,6295.24,-4388.49,101.45,3113,-4287.04,-1173.18,2025-9-13,k
